domain,inventory,year,co2_mt
extended,EDGAR Fuel Exploitation,2000,3.31338740867048
extended,EDGAR Fuel Exploitation,2001,3.4730507019417463
extended,EDGAR Fuel Exploitation,2002,3.440301968578847
extended,EDGAR Fuel Exploitation,2003,4.300392899972966
extended,EDGAR Fuel Exploitation,2004,4.114250545916781
extended,EDGAR Fuel Exploitation,2005,4.220124183111934
extended,EDGAR Fuel Exploitation,2006,4.729697889837686
extended,EDGAR Fuel Exploitation,2007,5.035440144203448
extended,EDGAR Fuel Exploitation,2008,5.38092930698098
extended,EDGAR Fuel Exploitation,2009,5.805319508897737
extended,EDGAR Fuel Exploitation,2010,6.198877233499865
extended,EDGAR Fuel Exploitation,2011,6.22173144919988
extended,EDGAR Fuel Exploitation,2012,6.324412799872598
extended,EDGAR Fuel Exploitation,2013,7.157224752053589
extended,EDGAR Fuel Exploitation,2014,6.722009809434818
extended,EDGAR Fuel Exploitation,2015,7.418111169722541
extended,EDGAR Fuel Exploitation,2016,7.276085802109216
extended,EDGAR Fuel Exploitation,2017,8.425785632259295
extended,EDGAR Fuel Exploitation,2018,9.565795059174226
extended,EDGAR Fuel Exploitation,2019,11.321204945202656
extended,EDGAR Fuel Exploitation,2020,11.886479680449252
extended,EDGAR Fuel Exploitation,2021,12.572481454480847
extended,EDGAR Fuel Exploitation,2022,13.817015752167146
extended,EDGAR Fuel Exploitation,2023,14.706971591738464
extended,EDGAR Fuel Exploitation,2024,15.407042402712118
extended,ODIAC all fossil CO2,2000,153.67628645094698
extended,ODIAC all fossil CO2,2001,143.14870128940302
extended,ODIAC all fossil CO2,2002,153.06496798794072
extended,ODIAC all fossil CO2,2003,180.7784678318739
extended,ODIAC all fossil CO2,2004,191.42578185684843
extended,ODIAC all fossil CO2,2005,185.4840943678217
extended,ODIAC all fossil CO2,2006,227.3396826037335
extended,ODIAC all fossil CO2,2007,298.6215070942539
extended,ODIAC all fossil CO2,2008,319.86458974508446
extended,ODIAC all fossil CO2,2009,305.1242426612511
extended,ODIAC all fossil CO2,2010,301.6187493470275
extended,ODIAC all fossil CO2,2011,354.2479651753709
extended,ODIAC all fossil CO2,2012,345.36775684849465
extended,ODIAC all fossil CO2,2013,318.94451250440954
extended,ODIAC all fossil CO2,2014,319.0386212995588
extended,ODIAC all fossil CO2,2015,316.1149704033148
extended,ODIAC all fossil CO2,2016,249.11707177316725
extended,ODIAC all fossil CO2,2017,389.4435245107601
extended,ODIAC all fossil CO2,2018,228.4404018917489
extended,ODIAC all fossil CO2,2019,378.1634783218855
extended,ODIAC all fossil CO2,2020,383.8919131078185
extended,ODIAC all fossil CO2,2021,398.8813987961426
extended,ODIAC all fossil CO2,2022,457.9280449162044
extended,ODIAC all fossil CO2,2023,436.47381612730135
extended,ODIAC all fossil CO2,2024,400.7095752991068
core,EDGAR Fuel Exploitation,2000,1.185050521544605
core,EDGAR Fuel Exploitation,2001,1.23495122370876
core,EDGAR Fuel Exploitation,2002,1.206406971482345
core,EDGAR Fuel Exploitation,2003,1.526896105231118
core,EDGAR Fuel Exploitation,2004,1.4661119798647306
core,EDGAR Fuel Exploitation,2005,1.5358149532435856
core,EDGAR Fuel Exploitation,2006,1.7073689462867556
core,EDGAR Fuel Exploitation,2007,1.7662351695482277
core,EDGAR Fuel Exploitation,2008,1.8774278190140303
core,EDGAR Fuel Exploitation,2009,1.898733244019192
core,EDGAR Fuel Exploitation,2010,1.8726608103656115
core,EDGAR Fuel Exploitation,2011,1.8382516785240584
core,EDGAR Fuel Exploitation,2012,1.8032123611174664
core,EDGAR Fuel Exploitation,2013,2.116820770847492
core,EDGAR Fuel Exploitation,2014,2.2639658347180225
core,EDGAR Fuel Exploitation,2015,2.591105952815611
core,EDGAR Fuel Exploitation,2016,2.3668545554766918
core,EDGAR Fuel Exploitation,2017,2.610379374655622
core,EDGAR Fuel Exploitation,2018,2.998013201446528
core,EDGAR Fuel Exploitation,2019,3.541433125080784
core,EDGAR Fuel Exploitation,2020,3.893532542233828
core,EDGAR Fuel Exploitation,2021,4.18266753692486
core,EDGAR Fuel Exploitation,2022,4.455749611835752
core,EDGAR Fuel Exploitation,2023,4.831323193318951
core,EDGAR Fuel Exploitation,2024,5.0668140246251925
core,ODIAC all fossil CO2,2000,21.261629140208232
core,ODIAC all fossil CO2,2001,19.805612054039003
core,ODIAC all fossil CO2,2002,23.18905164844812
core,ODIAC all fossil CO2,2003,27.359571808655076
core,ODIAC all fossil CO2,2004,31.202094354900787
core,ODIAC all fossil CO2,2005,30.044961811090765
core,ODIAC all fossil CO2,2006,36.82073818963565
core,ODIAC all fossil CO2,2007,48.30612112221765
core,ODIAC all fossil CO2,2008,51.7204594275849
core,ODIAC all fossil CO2,2009,49.38185763350085
core,ODIAC all fossil CO2,2010,45.634564893339984
core,ODIAC all fossil CO2,2011,55.1024947519192
core,ODIAC all fossil CO2,2012,52.3019511853454
core,ODIAC all fossil CO2,2013,48.32013186153315
core,ODIAC all fossil CO2,2014,48.341672831683454
core,ODIAC all fossil CO2,2015,47.91990326121577
core,ODIAC all fossil CO2,2016,37.79537901852516
core,ODIAC all fossil CO2,2017,58.87266288520196
core,ODIAC all fossil CO2,2018,34.65957501899353
core,ODIAC all fossil CO2,2019,57.21923679128604
core,ODIAC all fossil CO2,2020,58.02332936093326
core,ODIAC all fossil CO2,2021,60.285246257219775
core,ODIAC all fossil CO2,2022,69.21862404431339
core,ODIAC all fossil CO2,2023,65.97394208420702
core,ODIAC all fossil CO2,2024,60.56379032462793
