replicate,method,mean_dxch4_ppb,n_days,n_high_grids,n_controls,mean_match_distance_km
1,latitude_stratified_random_hotspot,-0.565067727372379,862,38,167,15.542936758331445
2,latitude_stratified_random_hotspot,0.1383102365590829,919,38,165,13.488440954452493
3,latitude_stratified_random_hotspot,1.2824138390455029,911,38,165,14.408407393797422
4,latitude_stratified_random_hotspot,-0.225239369815829,887,38,166,16.021216630636403
5,latitude_stratified_random_hotspot,0.9410387770943476,909,38,170,14.404662428162029
6,latitude_stratified_random_hotspot,0.3498214943518292,940,38,167,13.828760497838486
7,latitude_stratified_random_hotspot,0.5627702676030474,944,38,164,14.365864295683224
8,latitude_stratified_random_hotspot,-0.772203458592825,860,38,167,13.477453750543148
9,latitude_stratified_random_hotspot,0.0036006141281885,934,38,162,12.884184015107216
10,latitude_stratified_random_hotspot,0.7157714331869562,918,38,164,15.052118521576286
11,latitude_stratified_random_hotspot,1.0744936774049596,902,38,168,13.883289071284809
12,latitude_stratified_random_hotspot,1.1766473870728986,914,38,163,14.482908869578996
13,latitude_stratified_random_hotspot,1.160757039184103,859,38,168,12.369364598562544
14,latitude_stratified_random_hotspot,1.43807692147079,903,38,162,12.7350085271683
15,latitude_stratified_random_hotspot,0.567638272595996,941,38,159,11.873242091411536
16,latitude_stratified_random_hotspot,0.0890370419664505,911,38,164,14.10642564708027
17,latitude_stratified_random_hotspot,0.6966029326876283,916,38,169,14.16186421886828
18,latitude_stratified_random_hotspot,0.5622587061036872,938,38,171,13.916585895090194
19,latitude_stratified_random_hotspot,0.5577572445471094,913,38,165,13.009545772843156
20,latitude_stratified_random_hotspot,0.2354822706981333,901,38,164,12.117029045866031
21,latitude_stratified_random_hotspot,-0.4194020755379146,854,38,166,13.76627941999719
22,latitude_stratified_random_hotspot,-0.2509822117063175,908,38,167,12.859953120122425
23,latitude_stratified_random_hotspot,0.7148245538944938,878,38,169,14.070842359210909
24,latitude_stratified_random_hotspot,0.1365860381340596,933,38,169,14.30202185361838
25,latitude_stratified_random_hotspot,1.1471997505259894,862,38,161,12.567217586044638
26,latitude_stratified_random_hotspot,-0.4008134320271256,856,38,163,13.489067612217807
27,latitude_stratified_random_hotspot,0.5443867438422537,923,38,169,13.744429302030476
28,latitude_stratified_random_hotspot,0.5439957861543606,942,38,167,14.273467658330532
29,latitude_stratified_random_hotspot,0.564344647571424,871,38,166,13.827303020829495
30,latitude_stratified_random_hotspot,-0.4651020895186034,903,38,163,13.199961691178522
31,latitude_stratified_random_hotspot,-0.481065780655006,923,38,164,13.317771244409355
32,latitude_stratified_random_hotspot,-0.3885905921749533,961,38,164,13.330665292370384
33,latitude_stratified_random_hotspot,0.5932844569203892,879,38,164,14.617143373095022
34,latitude_stratified_random_hotspot,-0.0070202675014374,824,38,163,12.627423735278214
35,latitude_stratified_random_hotspot,0.7654085334961223,936,38,161,14.465959455839895
36,latitude_stratified_random_hotspot,-0.4008490990099367,885,38,169,15.13028555480467
37,latitude_stratified_random_hotspot,0.5748588594472247,893,38,168,14.097258888406545
