gid,lon,lat,priority_class,evidence_type,evidence_count,E_high,P_high,A_high,land_area_km2,density_land_area,adjusted_ch4,index_ch4,coast_distance_km
36.85_117.85,117.85,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,0.9551523953623654,0.3993114599078008,109.7861880007022
36.85_117.95,117.95,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-2.8445010539610114,0.8051913556151727,102.00127215139254
36.85_118.05,118.05,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-1.9926953441481672,0.6194280349461116,94.38348132425416
36.85_118.15,118.15,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-0.4592245319604061,0.4894571143425448,86.90673413129565
36.85_118.25,118.25,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,0.7560413217031479,0.807197310356776,79.7037439377482
36.85_118.35,118.35,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-0.361620835393614,0.7252248899595286,72.85575219476365
36.85_118.45,118.45,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-1.632531333019754,0.5368133859753084,66.4725652271652
36.85_118.55,118.55,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-2.2898750611393344,0.6908363726778709,60.700994207170176
36.85_118.65,118.65,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,0.381443462868137,-0.7006445727117724,55.352893619664535
36.85_118.75,118.75,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-0.4831288890243285,-0.7006445727117724,50.06783704660677
36.85_118.85,118.85,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-1.4897623218190204,-0.7006445727117724,44.929006026922345
36.85_118.95,118.95,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-2.260470807008151,-0.7006445727117724,40.46183161503076
36.85_119.05,119.05,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-0.48933711925064,-0.2403574644858149,37.56423195758475
36.85_119.15,119.15,36.85,Reference,,0,False,False,False,98.94051172014072,0.0,-1.227075793008834,-0.7006445727117724,34.18686635899686
36.85_119.25,119.25,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,2.203842991203722,-0.7006445727117724,32.146317213073736
36.85_119.35,119.35,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,2.081215778597894,0.6470558890134361,31.171323626943003
36.85_119.45,119.45,36.85,Priority 2,EA,2,True,False,True,98.94051172014072,0.0,0.9356651541468284,1.4271149943553376,30.127767926252748
36.85_119.55,119.55,36.85,Reference,E,1,True,False,False,98.94051172014072,0.0,-0.1552287175337385,1.4618186445393262,31.60824028042248
36.85_119.65,119.65,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,0.7798529581338585,1.1158735791978949,32.02961426439991
36.85_119.75,119.75,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,0.4671899304858409,0.6185248501015489,32.591105765221
36.85_119.85,119.85,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,1.6187630847214167,-0.0754858195836971,34.32203478227638
36.85_119.95,119.95,36.85,Priority 4,A,1,False,False,True,98.94051172014072,0.0,4.109512149529056,0.9572565140384408,37.13553391277753
36.95_117.85,117.85,36.95,Priority 4,A,1,False,False,True,98.81094194186927,0.0,3.0118926862863145,-0.7006445727117724,105.22566570145716
36.95_117.95,117.95,36.95,Priority 4,A,1,False,False,True,98.81094194186927,0.0,0.7227663206091056,0.4583208580984513,97.07570842951256
36.95_118.05,118.05,36.95,Reference,,0,False,False,False,98.81094194186927,0.0,-0.0885734547453011,-0.7006445727117724,89.05230531385983
36.95_118.15,118.15,36.95,Priority 4,A,1,False,False,True,98.81094194186927,0.0,1.598269730662101,-0.7006445727117724,81.19298286291784
