gid,lon,lat,priority_group,land_intersecting,three_layer,E_high,P_high,A_high,land_area_km2,n_pumpjacks_unique,adjusted_ch4,index_ch4,coast_distance_km,retained_at_P75
36.85_119.45,119.45,36.85,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.94051172014072,0,0.9356651541468284,1.4271149943553376,30.127767926252748,FALSE
36.95_119.35,119.35,36.95,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.81094194186927,0,0.8880352469750966,1.524265141014678,20.616302134090827,FALSE
36.95_119.45,119.45,36.95,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.81094194186927,0,1.1447578883166172,1.3863073730657696,19.00165511861129,FALSE
37.05_119.15,119.15,37.05,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.68107116833085,0,0.9735832960441312,1.4322337970345511,14.35010674011088,FALSE
37.15_118.45,118.45,37.15,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.55089979512402,227,1.0885531175379148,-0.5334548540302002,47.883851931717395,FALSE
37.15_119.05,119.05,37.15,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.55089979512402,0,0.4664674652938504,1.4522861560228844,8.0748112232788,FALSE
37.25_118.25,118.25,37.25,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.42042821880696,220,0.4289808130660664,-0.7006445727117724,62.392220980911226,FALSE
37.25_118.75,118.75,37.25,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.42042821880696,507,3.4930900366392543,0.9933148623754238,19.29506847533829,TRUE
37.25_118.85,118.85,37.25,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.42042821880696,0,2.4776327356578087,1.4641781205472952,11.038991839983758,TRUE
37.35_118.65,118.65,37.35,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.28965683677932,118,3.963019782569962,1.4378017946825694,26.152750208866088,TRUE
37.45_118.05,118.05,37.45,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.15858604741604,433,1.868367536004684,0.3213789764346899,76.73182035639597,TRUE
37.45_118.15,118.15,37.45,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.15858604741604,442,1.8036783502842333,0.1939687900505836,70.48957518396341,TRUE
37.45_118.35,118.35,37.45,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,98.15858604741604,243,1.7777065383467825,0.08514158789867751,53.013623200595035,TRUE
37.45_118.45,118.45,37.45,Priority 1,TRUE,TRUE,TRUE,TRUE,TRUE,98.15858604741604,198,3.620076203121225,1.4983850993235484,44.320734055750485,TRUE
37.45_118.55,118.55,37.45,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.15858604741604,64,1.923844416268182,1.741304373484393,35.6872268391746,TRUE
37.55_118.45,118.45,37.55,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,98.02721624997304,125,2.252927077816598,1.4234536321242213,44.809443597618895,TRUE
37.65_118.25,118.25,37.65,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.89554784464204,158,1.7841020113456127,1.427645708127107,53.25033402173616,TRUE
37.75_118.15,118.15,37.75,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.76358123248004,1,2.086449150218832,1.3818050243897588,43.65425288209057,TRUE
37.85_117.85,117.85,37.85,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.63131681550352,57,1.2977842083182716,1.4080500697975216,37.73931926938421,FALSE
37.85_117.95,117.95,37.85,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.63131681550352,13,0.3198542493620293,1.3897198859441862,34.169691617372955,FALSE
37.85_118.65,118.65,37.85,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.63131681550352,159,3.6858348267203977,1.78557146874105,26.010843825775115,TRUE
37.85_118.75,118.75,37.85,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,97.63131681550352,1299,2.038000867617423,0.19007692460421097,25.11876964174437,TRUE
37.85_118.85,118.85,37.85,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,97.63131681550352,1020,0.4924394387354825,-0.7006445727117724,18.041939237015573,FALSE
37.85_119.05,119.05,37.85,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,97.63131681550352,1575,7.882773096477836,-0.7006445727117724,5.911406005673065,TRUE
37.95_117.85,117.85,37.95,Priority 2,TRUE,FALSE,TRUE,FALSE,TRUE,97.49875499660202,59,3.148519649220392,1.693942607955344,28.6669631359712,TRUE
37.95_118.65,118.65,37.95,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,97.49875499660202,231,3.970281433719933,-0.7006445727117724,15.97366828068432,TRUE
37.95_119.45,119.45,37.95,Priority 2,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0.1013012166573127,3.613092717580487,26.975989952919164,FALSE
38.05_118.65,118.65,38.05,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,97.3658961795774,277,13.515316435070632,-0.6990445345010553,7.305368544298608,TRUE
38.05_118.95,118.95,38.05,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,46.948329634964466,283,5.248896790434599,1.0620514433401904,0.7096173415125,TRUE
38.15_118.75,118.75,38.15,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,51.57299314066768,100,0.8603986808369842,-0.7004911699363281,1.0765581925308303,FALSE
38.15_118.85,118.85,38.15,Priority 1,TRUE,FALSE,FALSE,TRUE,TRUE,42.169838801026344,112,8.334827825405668,-0.6732685095590903,0.9185367162422716,TRUE
38.25_119.25,119.25,38.25,Priority 2,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,1.0159548380689196,4.2644697324029694,31.43370467863149,FALSE
38.35_119.05,119.05,38.35,Priority 2,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,-0.0736647407308826,3.897748951088682,28.56180822118804,FALSE
38.45_118.45,118.45,38.45,Priority 2,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0.1782441385538963,3.5040360608082293,37.74378958150521,FALSE
