gid,lon,lat,total_area_km2,land_area_km2,land_fraction,n_pumpjacks_raw,n_pumpjacks_unique,density_total_area,density_land_area
36.85_117.85,117.85,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_117.95,117.95,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.05,118.05,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.15,118.15,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.25,118.25,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.35,118.35,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.45,118.45,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.55,118.55,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.65,118.65,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.75,118.75,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.85,118.85,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_118.95,118.95,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.05,119.05,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.15,119.15,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.25,119.25,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.35,119.35,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.45,119.45,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.55,119.55,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.65,119.65,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.75,119.75,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.85,119.85,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.85_119.95,119.95,36.85,98.94051172014072,98.94051172014072,1.0,0,0,0.0,0.0
36.95_117.85,117.85,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_117.95,117.95,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.05,118.05,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.15,118.15,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.25,118.25,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.35,118.35,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.45,118.45,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.55,118.55,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.65,118.65,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.75,118.75,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.85,118.85,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_118.95,118.95,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.05,119.05,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.15,119.15,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.25,119.25,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.35,119.35,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.45,119.45,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.55,119.55,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.65,119.65,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
36.95_119.75,119.75,36.95,98.81094194186927,98.81094194186927,1.0,0,0,0.0,0.0
