gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
36.85_117.85,36.85,117.85,0,98.11564122599933,0.0,20.949853289339067,34.53949262687793,No-well
36.85_117.95,36.85,117.95,0,98.11564122599933,0.0,20.52460226059076,33.396,No-well
36.85_118.05,36.85,118.05,0,98.11564122599933,0.0,23.64296328530601,34.53949262687746,No-well
36.85_118.15,36.85,118.15,0,98.11564122599933,0.0,29.10673315888457,37.76278267935891,No-well
36.85_118.25,36.85,118.25,0,98.11564122599933,0.0,34.10267451298647,34.53949262687746,No-well
36.85_118.35,36.85,118.35,0,98.11564122599933,0.0,32.126717689053244,33.396,No-well
36.85_118.45,36.85,118.45,0,98.11564122599933,0.0,29.2985677227687,33.396,No-well
36.85_118.55,36.85,118.55,0,98.11564122599933,0.0,28.540393100307718,34.53949262687746,No-well
36.85_118.65,36.85,118.65,0,98.11564122599933,0.0,30.43138964751371,37.76278267935977,No-well
36.85_118.75,36.85,118.75,0,98.11564122599933,0.0,34.53914276993212,42.59631944545441,No-well
36.85_118.85,36.85,118.85,0,98.11564122599933,0.0,37.86069247318695,45.39192129577821,No-well
36.85_118.95,36.85,118.95,0,98.11564122599933,0.0,35.02120306763968,47.890267525756094,No-well
36.85_119.05,36.85,119.05,0,98.11564122599933,0.0,27.84658110090976,51.78702924767069,No-well
36.85_119.15,36.85,119.15,0,98.11564122599933,0.0,21.83793052081844,56.79509259393883,No-well
36.85_119.25,36.85,119.25,0,98.11564122599933,0.0,17.91217424303214,62.648512807992645,No-well
36.85_119.35,36.85,119.35,0,98.11564122599933,0.0,17.73550820614254,69.13289550710714,No-well
36.85_119.45,36.85,119.45,0,98.11564122599933,0.0,21.360653935046745,76.08709348624407,No-well
36.85_119.55,36.85,119.55,0,98.11564122599933,0.0,27.447664592451897,83.39365574800246,No-well
36.85_119.65,36.85,119.65,0,98.11564122599933,0.0,34.72518562183654,90.96771577154604,No-well
36.85_119.75,36.85,119.75,0,98.11564122599933,0.0,42.58720713085603,98.74774061320694,No-well
36.85_119.85,36.85,119.85,0,98.11564122599933,0.0,50.76287399060566,106.68868126271816,No-well
36.85_119.95,36.85,119.95,0,98.11564122599933,0.0,59.12221249420583,114.75713752436828,No-well
36.95_117.85,36.95,117.85,0,98.11564122599933,0.0,10.590807204576418,23.9451337628783,No-well
36.95_117.95,36.95,117.95,0,98.11564122599933,0.0,9.724111115789446,22.26399999999953,No-well
36.95_118.05,36.95,118.05,0,98.11564122599933,0.0,15.108471980330298,23.945133762877614,No-well
36.95_118.15,36.95,118.15,0,98.11564122599933,0.0,21.32217130996801,28.397546296968475,No-well
36.95_118.25,36.95,118.25,0,98.11564122599933,0.0,23.88658253993417,23.945133762877614,No-well
36.95_118.35,36.95,118.35,0,98.11564122599933,0.0,21.11966654169601,22.26399999999953,No-well
36.95_118.45,36.95,118.45,0,98.11564122599933,0.0,18.66393651772426,22.26399999999953,No-well
36.95_118.55,36.95,118.55,0,98.11564122599933,0.0,17.449655986639662,23.945133762877614,No-well
36.95_118.65,36.95,118.65,0,98.11564122599933,0.0,20.39622346442552,28.39754629696963,No-well
36.95_118.75,36.95,118.75,0,98.11564122599933,0.0,25.286981511297466,33.39599999999953,No-well
36.95_118.85,36.95,118.85,0,98.11564122599933,0.0,27.028153115147717,34.539492626877006,No-well
36.95_118.95,36.95,118.95,0,98.11564122599933,0.0,30.49760155894713,37.76278267935849,No-well
36.95_119.05,36.95,119.05,0,98.11564122599933,0.0,22.290600742494163,42.59631944545289,No-well
36.95_119.15,36.95,119.15,0,98.11564122599933,0.0,14.183996827769263,48.56163686238403,No-well
36.95_119.25,36.95,119.25,0,98.11564122599933,0.0,7.692891766561656,55.29363606287063,No-well
36.95_119.35,36.95,119.35,0,98.11564122599933,0.0,7.209757018344445,62.54524181100081,No-well
36.95_119.45,36.95,119.45,0,98.11564122599933,0.0,13.917969732193184,70.1555117377417,No-well
36.95_119.55,36.95,119.55,0,98.11564122599933,0.0,22.15415619050193,78.01956069484315,No-well
36.95_119.65,36.95,119.65,0,98.11564122599933,0.0,30.71271497937655,86.06785314327732,No-well
36.95_119.75,36.95,119.75,0,98.11564122599933,0.0,39.38403935783951,94.25320317216372,No-well
36.95_119.85,36.95,119.85,0,98.11564122599933,0.0,48.10718990670237,102.54279468386764,No-well
36.95_119.95,36.95,119.95,0,98.11564122599933,0.0,56.85831825813569,110.91325729950746,No-well
37.05_117.85,37.05,117.85,7,98.11564122599933,0.0713443841627271,1.868311494084656,14.19877314848594,Q4
37.05_117.95,37.05,117.95,8,98.11564122599933,0.0815364390431166,2.033499275381675,11.132000000000463,Q4
37.05_118.05,37.05,118.05,0,98.11564122599933,0.0,8.287298607185306,14.198773148484786,No-well
37.05_118.15,37.05,118.15,0,98.11564122599933,0.0,13.76401073457948,20.84841393700008,No-well
37.05_118.25,37.05,118.25,0,98.11564122599933,0.0,13.437803526355305,14.198773148484786,No-well
37.05_118.35,37.05,118.35,0,98.11564122599933,0.0,10.204788924824989,11.132000000000463,No-well
37.05_118.45,37.05,118.45,0,98.11564122599933,0.0,8.738615124820909,11.132000000000463,No-well
37.05_118.55,37.05,118.55,0,98.11564122599933,0.0,6.501522728106468,14.198773148484786,No-well
37.05_118.65,37.05,118.65,0,98.11564122599933,0.0,12.339695826725526,20.84841393700165,No-well
37.05_118.75,37.05,118.75,0,98.11564122599933,0.0,14.202268947843802,22.264000000000465,No-well
37.05_118.85,37.05,118.85,0,98.11564122599933,0.0,16.514129483786235,23.94513376287848,No-well
37.05_118.95,37.05,118.95,0,98.11564122599933,0.0,21.34657625316922,28.397546296969207,No-well
37.05_119.05,37.05,119.05,0,98.11564122599933,0.0,21.590565808079862,34.56644775355316,No-well
37.05_119.15,37.05,119.15,0,98.11564122599933,0.0,13.056317109426937,41.69682787400148,No-well
37.05_119.25,37.05,119.25,2,98.11564122599933,0.0203841097607791,5.490880699407437,49.37387030660285,Q3
37.05_119.35,37.05,119.35,6,98.11564122599933,0.0611523292823375,6.010875830301668,57.378568762183455,Q3
37.05_119.45,37.05,119.45,0,98.11564122599933,0.0,13.378530352758112,65.59107185573708,No-well
37.05_119.55,37.05,119.55,0,98.11564122599933,0.0,21.81929947194867,73.94217153300521,No-well
37.05_119.65,37.05,119.65,0,98.11564122599933,0.0,30.47205366131146,82.38973373359573,No-well
37.05_119.75,37.05,119.75,0,98.11564122599933,0.0,39.19665481993682,90.9068709626133,No-well
37.05_119.85,37.05,119.85,0,98.11564122599933,0.0,47.95390405017042,99.4757137274113,No-well
