lat,lon,ch4,co2,ch4_mean,co2_mean,oilindex,category,glat,glon,gid,index_joint,index_ch4,raw_dxch4,adjusted_ch4,log_co2,co2_high,ch4_high,quadrant
36.85,117.85,6.223782976468404,97895.90130535078,6.223782976468404,97895.90130535078,2.073489498644156,Medium,36.85,117.85,36.85_117.85,1.8197572023982644,0.3993114599078008,5.132736430206939,0.9551523953623654,11.49167017638694,True,True,I: high CO2 / high CH4
36.85,117.95,13.984623352686564,21416.07958739996,13.984623352686564,21416.07958739996,2.272040118548155,High,36.85,117.95,36.85_117.95,1.8934488892023351,0.8051913556151727,1.4487955127218726,-2.8445010539610114,9.971943994249015,True,False,II: high CO2 / low CH4
36.85,118.05,9.730389992396036,165321.7999063333,9.730389992396036,165321.7999063333,2.49418900301446,High,36.85,118.05,36.85_118.05,2.1544086522811514,0.6194280349461116,1.9095264621160608,-1.9926953441481672,12.01565520476542,True,False,II: high CO2 / low CH4
36.85,118.15,7.4946165680885315,62772.57485356741,7.4946165680885315,62772.57485356741,2.0927784808721537,Medium,36.85,118.15,36.85_118.15,1.812768235542764,0.4894571143425448,5.061857574848548,-0.4592245319604061,11.04728948131595,True,False,II: high CO2 / low CH4
36.85,118.25,14.038756688435871,27665.291231175263,14.038756688435871,27665.291231175263,2.334210441317178,High,36.85,118.25,36.85_118.25,1.9514181027232165,0.807197310356776,5.6242671766211725,0.7560413217031479,10.227970028061032,True,True,I: high CO2 / high CH4
36.85,118.35,11.978183249632515,5780.478243401895,11.978183249632515,5780.478243401895,1.859350253167664,Medium,36.85,118.35,36.85_118.35,1.5272399396178664,0.7252248899595286,4.596801868503905,-0.361620835393614,8.662414680421211,True,False,II: high CO2 / low CH4
36.85,118.45,8.249453445275625,6049.833650657286,8.249453445275625,6049.833650657286,1.6139573627249568,Medium,36.85,118.45,36.85_118.45,1.348782031163883,0.5368133859753084,3.5352244508512976,-1.632531333019754,8.707951335029307,True,False,II: high CO2 / low CH4
36.85,118.55,11.200169920921326,34119.69720432535,11.200169920921326,34119.69720432535,2.2248152260478413,High,36.85,118.55,36.85_118.55,1.8808919670178703,0.6908363726778709,2.203825926995986,-2.2898750611393344,10.437659435286804,True,False,II: high CO2 / low CH4
36.85,118.65,0.0,41316.85026041666,0.0,41316.85026041666,0.3788615851736664,Medium,36.85,118.65,36.85_118.65,0.5312459619285493,-0.7006445727117724,5.146372370089081,0.381443462868137,10.629049895268736,True,True,I: high CO2 / high CH4
36.85,118.75,0.0,58190.432942708336,0.0,58190.432942708336,0.4583714817917147,Medium,36.85,118.75,36.85_118.75,0.6060987237796905,-0.7006445727117724,4.254725595071284,-0.4831288890243285,10.971493422587397,True,False,II: high CO2 / low CH4
36.85,118.85,0.0,65915.73372395833,0.0,65915.73372395833,0.4873141865083824,Medium,36.85,118.85,36.85_118.85,0.6333461668733703,-0.7006445727117724,2.4625377822359225,-1.4897623218190204,11.096147614265318,True,False,II: high CO2 / low CH4
36.85,118.95,0.0,12048.049967447916,0.0,12048.049967447916,0.0927392394449028,Medium,36.85,118.95,36.85_118.95,0.2618826660861626,-0.7006445727117724,2.28822775307718,-2.260470807008151,9.396741094935004,True,False,II: high CO2 / low CH4
36.85,119.05,1.2874851698676746,2273.440676761015,1.2874851698676746,2273.440676761015,0.3309515339822511,Medium,36.85,119.05,36.85_119.05,0.3577348215142006,-0.2403574644858149,4.1169215352152735,-0.48933711925064,7.729489444788634,True,False,II: high CO2 / low CH4
36.85,119.15,0.0,13874.049967447916,0.0,13874.049967447916,0.1255018935865203,Medium,36.85,119.15,36.85_119.15,0.2927263126306244,-0.7006445727117724,2.6968705064408693,-1.227075793008834,9.53784753986566,True,False,II: high CO2 / low CH4
36.85,119.25,0.0,7417.174967447917,0.0,7417.174967447917,-0.0198822322810419,Medium,36.85,119.25,36.85_119.25,0.1558577740790262,-0.7006445727117724,5.501659236620594,2.203842991203722,8.911688344647606,True,True,I: high CO2 / high CH4
36.85,119.35,10.276785016059875,140075.07215099782,10.276785016059875,140075.07215099782,2.493246526361004,High,36.85,119.35,36.85_119.35,2.145813974996883,0.6470558890134361,5.307031884733598,2.081215778597894,11.849940926525184,True,True,I: high CO2 / high CH4
36.85,119.45,44.83508292833964,64659.05800258368,44.83508292833964,64659.05800258368,3.373505067143716,High,36.85,119.45,36.85_119.45,2.756898278716145,1.4271149943553376,4.191262146774863,0.9356651541468284,11.07689894831867,True,True,I: high CO2 / high CH4
36.85,119.55,47.78564784924189,26463.73050173745,47.78564784924189,26463.73050173745,3.2132345096981,High,36.85,119.55,36.85_119.55,2.596333896814494,1.4618186445393262,1.9495095991455516,-0.1552287175337385,10.18356820104498,True,False,II: high CO2 / low CH4
36.85,119.65,25.19410948952039,971.6436974747728,25.19410948952039,971.6436974747728,1.9762206534620024,Medium,36.85,119.65,36.85_119.65,1.5282847477373307,1.1158735791978949,2.8729643396228672,0.7798529581338585,6.8800178254765445,True,True,I: high CO2 / high CH4
36.85,119.75,9.712981780370075,3322.858581203968,9.712981780370075,3322.858581203968,1.585871793480222,Medium,36.85,119.75,36.85_119.75,1.2995462883504962,0.6185248501015489,1.906317783194024,0.4671899304858409,8.108881610306135,True,True,I: high CO2 / high CH4
36.85,119.85,2.0766488363345466,2040.831825657437,2.0766488363345466,2040.831825657437,0.5298877277286544,Medium,36.85,119.85,36.85_119.85,0.4990241095145327,-0.0754858195836971,3.4076667899573274,1.6187630847214167,7.62160263767262,True,True,I: high CO2 / high CH4
36.85,119.95,18.695504585901897,6685.366519241284,18.695504585901897,6685.366519241284,2.2083381322642395,Medium,36.85,119.95,36.85_119.95,1.7910561627701087,0.9572565140384408,5.541628782717215,4.109512149529056,8.807825884388892,True,True,I: high CO2 / high CH4
36.95,117.85,0.0,42211.599609375,0.0,42211.599609375,0.3838359244639974,Medium,36.95,117.85,36.95_117.85,0.53592893914401,-0.7006445727117724,7.600602334117113,3.0118926862863145,10.650474024403804,True,True,I: high CO2 / high CH4
36.95,117.95,7.032206843296687,15567.640118390322,7.032206843296687,15567.640118390322,1.7267500013272108,Medium,36.95,117.95,36.95_117.95,1.4768653006091224,0.4583208580984513,6.324659703154107,0.7227663206091056,9.653013921154372,True,True,I: high CO2 / high CH4
36.95,118.05,0.0,69686.61653645833,0.0,69686.61653645833,0.5002306499278623,Medium,36.95,118.05,36.95_118.05,0.6455060740223105,-0.7006445727117724,5.521027134083103,-0.0885734547453011,11.151777912907225,True,False,II: high CO2 / low CH4
36.95,118.15,0.0,30521.3837890625,0.0,30521.3837890625,0.3085483144280999,Medium,36.95,118.15,36.95_118.15,0.4650511517984862,-0.7006445727117724,8.043462799219968,1.598269730662101,10.326215588149818,True,True,I: high CO2 / high CH4
36.95,118.25,0.3360164357970158,10910.778604996682,0.3360164357970158,10910.778604996682,0.2886456527669897,Medium,36.95,118.25,36.95_118.25,0.4013586784380624,-0.5394974610697714,8.114052506911413,1.8142512224449296,9.29759809074588,True,True,I: high CO2 / high CH4
36.95,118.35,0.0,4517.41483561198,0.0,4517.41483561198,-0.1349925032496965,Medium,36.95,118.35,36.95_118.35,0.0474898593170652,-0.7006445727117724,6.636964960292661,0.419497534570114,8.415916511230776,True,True,I: high CO2 / high CH4
36.95,118.45,0.0,14636.283365885416,0.0,14636.283365885416,0.1379190150501642,Medium,36.95,118.45,36.95_118.45,0.304416125790108,-0.7006445727117724,4.526137128975575,-0.9855356166112594,9.591327207856942,True,False,II: high CO2 / low CH4
36.95,118.55,9.114913324515024,68059.36762875877,9.114913324515024,68059.36762875877,2.2434850808410274,High,36.95,118.55,36.95_118.55,1.9275557692828555,0.5865697357763594,7.100912331173984,1.561253955300938,11.12815034957952,True,True,I: high CO2 / high CH4
36.95,118.65,0.0,5982.631591796875,0.0,5982.631591796875,-0.0697798188075045,Medium,36.95,118.65,36.95_118.65,0.108882839887448,-0.7006445727117724,7.340075269112293,0.7540387580603671,8.696782952217111,True,True,I: high CO2 / high CH4
36.95,118.75,0.0,50099.666015625,0.0,50099.666015625,0.4236126499217566,Medium,36.95,118.75,36.95_118.75,0.5733758216649466,-0.7006445727117724,5.775965987554455,-0.5082855899864427,10.821789580709645,True,False,II: high CO2 / low CH4
36.95,118.85,0.0,12914.383626302084,0.0,12914.383626302084,0.1088605417459299,Medium,36.95,118.85,36.95_118.85,0.2770596950246596,-0.7006445727117724,6.008820624344339,0.0725179509711484,9.46617440902236,True,True,I: high CO2 / high CH4
36.95,118.95,0.0,11048.44189453125,0.0,11048.44189453125,0.072630738826206,Medium,36.95,118.95,36.95_118.95,0.2429519810769059,-0.7006445727117724,6.086973791243749,-0.0924121137986141,9.310135198388124,True,False,II: high CO2 / low CH4
36.95,119.05,2.1704816818237305,676.7811816957159,2.1704816818237305,676.7811816957159,0.29654403761999,Medium,36.95,119.05,36.95_119.05,0.2746859444118711,-0.0587740505980752,4.582893161347147,-2.044179979230084,6.518824494986579,True,False,II: high CO2 / low CH4
